lr,val_mae,val_rmse,epoch,step,train_mae,train_rmse,test_mae,test_rmse
0.002499999012798071,6.069991111755371,8.407365798950195,22,4139,,,,
,,,22,4139,10.280858039855957,12.695113182067871,,
0.002499999012798071,6.903670310974121,9.420040130615234,23,4319,,,,
,,,23,4319,10.358882904052734,12.75489330291748,,
0.0006249997531995177,5.386205196380615,8.03460693359375,24,4499,,,,
,,,24,4499,5.200817584991455,7.54482889175415,,
0.0006249997531995177,4.962219715118408,7.766108989715576,25,4679,,,,
,,,25,4679,4.865267753601074,7.127910137176514,,
0.0006249997531995177,5.757216453552246,8.304529190063477,26,4859,,,,
,,,26,4859,4.493399620056152,6.797391891479492,,
0.0006249997531995177,4.628307819366455,7.396406173706055,27,5039,,,,
,,,27,5039,4.455770015716553,6.753747463226318,,
0.0006249997531995177,4.595980644226074,6.899467468261719,28,5219,,,,
,,,28,5219,4.44556188583374,6.6119914054870605,,
0.0006249997531995177,6.8193230628967285,9.077020645141602,29,5399,,,,
,,,29,5399,4.41843318939209,6.601047039031982,,
0.0006249997531995177,4.179065704345703,6.303410530090332,30,5579,,,,
,,,30,5579,4.579468250274658,6.686018943786621,,
0.0006249997531995177,3.963595151901245,6.347824573516846,31,5759,,,,
,,,31,5759,4.29685115814209,6.396661281585693,,
0.0006249997531995177,5.792733192443848,7.899991989135742,32,5939,,,,
,,,32,5939,4.1101155281066895,6.148682117462158,,
0.0006249997531995177,6.279709815979004,7.928988456726074,33,6119,,,,
,,,33,6119,4.538632869720459,6.532222270965576,,
0.0006249997531995177,4.022030353546143,6.183095932006836,34,6299,,,,
,,,34,6299,4.21538782119751,6.187676906585693,,
0.0006249997531995177,3.951158046722412,6.400522708892822,35,6479,,,,
,,,35,6479,4.031896114349365,5.964535236358643,,
0.0006249997531995177,5.25122594833374,7.538111209869385,36,6659,,,,
,,,36,6659,4.148993492126465,6.032688617706299,,
0.0006249997531995177,9.534845352172852,10.89748764038086,37,6839,,,,
,,,37,6839,4.233428955078125,6.04447078704834,,
0.0006249997531995177,4.1722588539123535,6.2579522132873535,38,7019,,,,
,,,38,7019,4.310908794403076,6.1939167976379395,,
0.0006249997531995177,4.069238662719727,6.04235315322876,39,7199,,,,
,,,39,7199,4.1380181312561035,5.952334403991699,,
0.00015624993829987943,3.141425848007202,5.064050197601318,40,7379,,,,
,,,40,7379,2.8505852222442627,4.6717634201049805,,
0.00015624993829987943,3.035768985748291,4.985406875610352,41,7559,,,,
,,,41,7559,2.6945855617523193,4.491717338562012,,
0.00015624993829987943,2.8011703491210938,4.79973840713501,42,7739,,,,
,,,42,7739,2.606861114501953,4.393611907958984,,
0.00015624993829987943,2.9625799655914307,4.957663536071777,43,7919,,,,
,,,43,7919,2.6108832359313965,4.378921031951904,,
0.00015624993829987943,2.806835651397705,4.733307361602783,44,8099,,,,
,,,44,8099,2.634113073348999,4.377292156219482,,
0.00015624993829987943,2.7740116119384766,4.732350826263428,45,8279,,,,
,,,45,8279,2.562004327774048,4.293222904205322,,
0.00015624993829987943,2.7303779125213623,4.642717361450195,46,8459,,,,
,,,46,8459,2.560966730117798,4.277041435241699,,
0.00015624993829987943,3.66738224029541,5.492966175079346,47,8639,,,,
,,,47,8639,2.6188387870788574,4.312301158905029,,
0.00015624993829987943,2.825986862182617,4.636724948883057,48,8819,,,,
,,,48,8819,2.6119179725646973,4.287333011627197,,
0.00015624993829987943,2.7533905506134033,4.709117412567139,49,8999,,,,
,,,49,8999,2.562621593475342,4.2138671875,,
0.00015624993829987943,2.7382795810699463,4.607641220092773,50,9179,,,,
,,,50,9179,2.566514730453491,4.204105854034424,,
3.906248457496986e-05,2.5616230964660645,4.452386379241943,51,9359,,,,
